antecedent,consequent,support,confidence,lift,rule_orders,antecedent_orders,customer_segment,product_segment_pv
CS=At Risk / Churn,PV=Cash Cows,0.23347448114631636,0.7164533657986163,0.9980156234906489,120640,168385,At Risk / Churn,Cash Cows
CS=At Risk / Churn,PV=Stars,0.10518737565703404,0.3227840959705437,0.9963006740071529,54352,168385,At Risk / Churn,Stars
CS=At Risk / Churn,PV=Dogs,0.0007160606600143986,0.0021973453692431034,0.8215654919058027,370,168385,At Risk / Churn,Dogs
CS=At Risk / Churn,PV=Question Marks,0.00033287144195263935,0.0010214686581346318,0.824701873682335,172,168385,At Risk / Churn,Question Marks
CS=Bargain Hunters,PV=Cash Cows,0.027237399267682826,0.7019101291706149,0.9777569743395099,14074,20051,Bargain Hunters,Cash Cows
CS=Bargain Hunters,PV=Stars,0.013543222969677735,0.3490100244376839,1.077249241592898,6998,20051,Bargain Hunters,Stars
CS=Champions,PV=Cash Cows,0.3224614681952949,0.720227366055026,1.0032727852247643,166621,231345,Champions,Cash Cows
CS=Champions,PV=Stars,0.14542998474984323,0.32482223518986797,1.0025915647396335,75146,231345,Champions,Stars
CS=Champions,PV=Dogs,0.0013953506374875173,0.003116557522315157,1.1652497371205488,721,231345,Champions,Dogs
CS=Champions,PV=Question Marks,0.0006405839958507187,0.0014307635782057101,1.1551538016814715,331,231345,Champions,Question Marks
CS=Hibernating / Low Engagement,PV=Cash Cows,0.0856427902368032,0.7138501742160279,0.9943893918412706,44253,61992,Hibernating / Low Engagement,Cash Cows
CS=Hibernating / Low Engagement,PV=Stars,0.03904272366251481,0.3254290876242096,1.0044646665959671,20174,61992,Hibernating / Low Engagement,Stars
CS=Hibernating / Low Engagement,PV=Dogs,0.00023417118881551954,0.0019518647567428056,0.729782742145525,121,61992,Hibernating / Low Engagement,Dogs
CS=Loyal Customers,PV=Cash Cows,0.049061767005473024,0.7254958074578599,1.0106116953094593,25351,34943,Loyal Customers,Cash Cows
CS=Loyal Customers,PV=Stars,0.0207793062339854,0.3072718427152792,0.9484207797790307,10737,34943,Loyal Customers,Stars
CS=Loyal Customers,PV=Dogs,0.0002806183667623995,0.0041496150874280975,1.551499645090808,145,34943,Loyal Customers,Dogs
CS=Loyal Customers,PV=Question Marks,0.00015095332832735971,0.002232206736685459,1.8022139627393183,78,34943,Loyal Customers,Question Marks
